"Time","Station","Species","Depth","OM_Percent","C_Percent","Bulk_Density","C_Density","SOC"
2021,18,"R",-2,9.15,6.69,0.98,0.07,654.41
2021,18,"R",-3,33.88,16.95,1.22,0.21,2062.78
2021,18,"B",-1,22.26,12.13,3.55,0.43,4310.32
2021,18,"B",-2,25.06,13.29,1.11,0.15,1470.61
2021,18,"B",-3,23.92,12.82,1.24,0.16,1585.71
2021,18,"C",-1,26.43,13.86,1.4,0.19,1938.34
2021,18,"C",-2,24.91,13.23,1.24,0.16,1634.91
2021,18,"C",-3,22.73,12.32,1.09,0.13,1337.83
2021,19,"R",-1,57.88,26.91,1.2,0.32,3229.98
2021,19,"R",-2,25.55,13.49,1.39,0.19,1878.42
2021,19,"R",-3,49.24,23.33,1.14,0.27,2651.31
2021,19,"B",-1,47.51,22.61,1.15,0.26,2598.18
2021,19,"B",-2,54.12,25.35,0.66,0.17,1675.45
2021,19,"B",-3,52.42,24.64,0.45,0.11,1106.75
2021,19,"C",-1,26.01,13.68,1.41,0.19,1935.91
2021,19,"C",-2,43.65,21,0.89,0.19,1873.04
2021,19,"C",-3,54.28,25.42,1.03,0.26,2629.6
2021,20,"R",-1,41.94,20.3,0.72,0.15,1457.67
2021,20,"R",-2,54.27,25.41,0.72,0.18,1831.94
2021,20,"R",-3,70.39,32.1,0.79,0.26,2551.67
2021,20,"B",-1,36.49,18.03,1.14,0.21,2057.51
2021,20,"B",-2,51.82,24.39,0.97,0.24,2373.51
2021,20,"B",-3,52.69,24.76,1.11,0.27,2744.83
2021,20,"C",-1,51.36,24.2,1.08,0.26,2613.44
2021,20,"C",-2,66.48,30.48,0.7,0.21,2136.96
2021,20,"C",-3,64.84,29.8,0.95,0.28,2835.02
2015,20,"R",-1,18.79,10.69,0.64,0.07,679.32
2015,20,"R",-2,40.31,19.62,0.52,0.1,1015.55
2015,20,"R",-3,34.84,17.35,0.46,0.08,805.67
2015,20,"B",-1,12.12,7.92,0.84,0.07,662.92
2015,20,"B",-2,21.64,11.87,0.69,0.08,813.25
2015,20,"B",-3,42.9,20.7,0.43,0.09,893.93
2015,20,"C",-1,15.4,9.28,0.78,0.07,720.03
2015,20,"C",-2,39.39,19.24,0.45,0.09,873.28
2015,20,"C",-3,29.25,15.03,0.5,0.08,752.83
2021,21,"R",-1,47.81,22.73,1.1,0.25,2508.19
2021,21,"R",-2,58.63,27.22,1.1,0.3,3001.89
2021,21,"R",-3,52.23,24.57,1.04,0.26,2566.7
2021,21,"B",-1,51.15,24.12,1.02,0.25,2450.61
2021,21,"B",-2,73.8,33.52,0.9,0.3,3013.46
2021,21,"B",-3,52.63,24.73,0.88,0.22,2188.81
2021,21,"C",-1,34.93,17.38,1.14,0.2,1981.6
2021,21,"C",-2,56.81,26.47,0.96,0.25,2548.35
2021,21,"C",-3,68.06,31.14,0.99,0.31,3081.67
2021,22,"R",-1,28.4,14.68,1.14,0.17,1673.09
2021,22,"R",-2,23.71,12.73,1.19,0.15,1520.01
2021,22,"R",-3,41.62,20.16,1.36,0.28,2751.69
2021,22,"B",-1,36.16,17.9,1.17,0.21,2085.91
2021,22,"B",-2,47.22,22.48,0.82,0.18,1833.67
2021,22,"B",-3,46.01,21.98,1.11,0.24,2445.92
2021,22,"C",-1,31.72,16.05,1.18,0.19,1893.54
2021,22,"C",-2,47.22,22.48,1.21,0.27,2731.37
2021,22,"C",-3,48.33,22.95,0.98,0.22,2246.44
2021,23,"R",-1,53.41,25.05,1.04,0.26,2598.96
2021,23,"R",-2,56.42,26.3,0.95,0.25,2490.63
2021,23,"R",-3,50.39,23.8,0.9,0.21,2145.07
2021,23,"B",-1,43.58,20.97,0.93,0.2,1953.99
2021,23,"B",-2,43.92,21.12,1.1,0.23,2313.69
2021,23,"B",-3,42.9,20.7,0.88,0.18,1826.53
2021,23,"C",-1,43.73,21.04,0.77,0.16,1624.58
2021,23,"C",-2,41.76,20.22,0.8,0.16,1609.97
2021,23,"C",-3,53.22,24.98,0.94,0.24,2351.65
2015,22,"R",-1,16.28,9.65,0.64,0.06,620.36
2015,22,"R",-2,15.18,9.19,0.67,0.06,612.18
2015,22,"R",-3,33.45,16.77,0.53,0.09,885.58
2015,22,"B",-1,28.17,14.58,0.69,0.1,1009.74
2015,22,"B",-2,31.89,16.12,0.57,0.09,921.89
2015,22,"B",-3,26.74,13.99,0.51,0.07,713.08
2015,22,"C",-1,17.07,9.97,0.77,0.08,765.78
2015,22,"C",-2,17.58,10.18,0.71,0.07,720.3
2015,22,"C",-3,22.01,12.02,0.61,0.07,728.47
2021,24,"R",-1,36.26,17.94,0.69,0.12,1238.32
2021,24,"R",-2,36.55,18.06,0.66,0.12,1197.66
2021,24,"R",-3,57.76,26.86,0.61,0.16,1639.86
2021,24,"B",-1,28.44,14.69,1.3,0.19,1911.3
2021,24,"B",-2,53.56,25.12,0.81,0.2,2046.05
2021,24,"B",-3,64.35,29.6,0.86,0.26,2552
2021,24,"C",-1,44.94,21.54,0.97,0.21,2080.63
2021,24,"C",-2,42.42,20.5,0.9,0.18,1848.12
2021,24,"C",-3,49.47,23.42,0.97,0.23,2270.88
2015,24,"R",-1,14.58,8.94,0.74,0.07,661.39
2015,24,"R",-2,18.49,10.56,0.73,0.08,768.44
2015,24,"R",-3,21.66,11.88,0.63,0.08,753.24
2015,24,"B",-1,17.96,10.34,0.65,0.07,674.87
2015,24,"B",-2,19.22,10.87,0.68,0.07,743.54
2015,24,"B",-3,24.39,13.01,0.58,0.07,748.74
2015,24,"C",-1,27.64,14.36,0.6,0.09,866.01
2015,24,"C",-2,31.45,15.94,0.55,0.09,873.51
2015,24,"C",-3,27.88,14.46,0.55,0.08,795.87
2021,25,"R",-1,29.43,15.1,1.17,0.18,1763.19
2021,25,"R",-2,39.35,19.22,1.05,0.2,2014.74
2021,25,"R",-3,35.93,17.8,1.2,0.21,2133.04
2021,25,"B",-1,33.54,16.81,1.05,0.18,1771
2021,25,"B",-2,40.21,19.58,1.06,0.21,2067.14
2021,25,"B",-3,36.5,18.04,1.01,0.18,1825.64
2021,25,"C",-1,24.66,13.12,1.22,0.16,1595.88
2021,25,"C",-2,28.91,14.89,1.2,0.18,1782.66
2021,25,"C",-3,37.65,18.51,1.21,0.22,2238.08
2021,26,"R",-1,67.62,30.95,0.81,0.25,2522.44
2021,26,"R",-2,56.27,26.24,0.79,0.21,2076.05
2021,26,"R",-3,50.15,23.7,0.83,0.2,1969.83
2021,26,"B",-1,74.05,33.62,0.92,0.31,3108.53
2021,26,"B",-2,77.35,34.99,0.79,0.28,2776.52
2021,26,"B",-3,66.24,30.38,0.88,0.27,2666.75
2021,26,"C",-1,71.78,32.68,0.94,0.31,3069.73
2021,26,"C",-2,67.15,30.76,0.72,0.22,2225.86
2021,26,"C",-3,73.64,33.45,0.86,0.29,2874.29
2015,26,"R",-1,20.52,11.41,0.62,0.07,706.13
2015,26,"R",-2,22,12.02,0.62,0.07,744.02
2015,26,"R",-3,14.9,9.07,0.79,0.07,717.35
2015,26,"B",-1,14.11,8.75,0.83,0.07,721.9
2015,26,"B",-2,23.06,12.46,0.61,0.08,763.03
2015,26,"B",-3,32.11,16.21,0.45,0.07,735.29
2015,26,"C",-1,19.95,11.17,0.66,0.07,735.06
2015,26,"C",-2,36.87,18.19,0.65,0.12,1183.05
2015,26,"C",-3,18.53,10.58,0.74,0.08,784.19
2021,27,"R",-1,41.88,20.27,0.85,0.17,1724.15
2021,27,"R",-2,44.17,21.22,1.05,0.22,2230.41
2021,27,"R",-3,52.35,24.62,0.83,0.2,2036.94
2021,27,"B",-1,26.04,13.69,1.29,0.18,1772.29
2021,27,"B",-2,24.64,13.11,1.15,0.15,1510.1
2021,27,"B",-3,46.65,22.25,0.93,0.21,2078.61
2021,27,"C",-1,20.6,11.44,1.4,0.16,1604.97
2021,27,"C",-2,24.29,12.97,1.11,0.14,1438.9
2021,27,"C",-3,45.1,21.61,0.97,0.21,2095.38
2021,28,"R",-1,31.27,15.87,0.84,0.13,1339.3
2021,28,"R",-2,32.47,16.37,0.95,0.16,1562.76
2021,28,"R",-3,26.45,13.87,0.84,0.12,1160.23
2021,28,"B",-1,43.63,20.99,1.07,0.22,2249.73
2021,28,"B",-2,51.95,24.45,1.06,0.26,2580.58
2021,28,"B",-3,51.29,24.17,1.08,0.26,2603.58
2021,28,"C",-1,34.93,17.39,1.22,0.21,2118.95
2021,28,"C",-2,31.64,16.02,1.25,0.2,2003.8
2021,28,"C",-3,40.74,19.8,1.23,0.24,2443.08
2015,28,"R",-1,35.13,17.47,0.41,0.07,720.12
2015,28,"R",-2,33.87,16.95,0.46,0.08,772.64
2015,28,"R",-3,24.55,13.08,0.53,0.07,690.9
2015,28,"B",-1,25.16,13.33,0.68,0.09,903.15
2015,28,"B",-2,25.37,13.42,0.63,0.08,847.43
2015,28,"B",-3,39.07,19.1,0.38,0.07,724.51
2015,28,"C",-1,18.82,10.7,0.73,0.08,783.99
2015,28,"C",-2,26.83,14.02,0.56,0.08,786.27
2015,28,"C",-3,22.83,12.36,0.65,0.08,798.59
2021,29,"R",-1,36.1,17.87,0.95,0.17,1703
2021,29,"R",-2,34.94,17.39,1.06,0.18,1846.49
2021,29,"R",-3,29.45,15.11,0.97,0.15,1459.01
2021,29,"B",-1,31.34,15.9,0.91,0.14,1442.18
2021,29,"B",-2,31.04,15.77,1.12,0.18,1773.28
2021,29,"B",-3,39.68,19.36,0.97,0.19,1878.39
2021,29,"C",-1,42.36,20.47,0.96,0.2,1955.66
2021,29,"C",-2,44.75,21.46,0.91,0.2,1956.82
2021,29,"C",-3,39.74,19.38,0.87,0.17,1689.35
2021,30,"R",-1,21.6,11.86,0.88,0.1,1037.79
2021,30,"R",-2,41.02,19.91,0.81,0.16,1609
2021,30,"R",-3,35.53,17.63,0.79,0.14,1399.81
2021,30,"B",-1,47.56,22.63,1.09,0.25,2477.33
2021,30,"B",-2,48.31,22.94,1.09,0.25,2501.55
2021,30,"B",-3,49.68,23.51,1.03,0.24,2422.56
2021,30,"C",-1,34.77,17.32,1.26,0.22,2183.57
2021,30,"C",-2,48.57,23.05,1.01,0.23,2328.33
2021,30,"C",-3,45.09,21.6,1.14,0.25,2452.29
2015,30,"R",-1,30.37,15.49,0.52,0.08,801.94
2015,30,"R",-2,28.17,14.58,0.46,0.07,669.06
2015,30,"R",-3,28.62,14.77,0.47,0.07,695.51
2015,30,"B",-1,23.25,12.54,0.55,0.07,695.21
2015,30,"B",-2,31.4,15.92,0.44,0.07,696.58
2015,30,"B",-3,29.66,15.2,0.46,0.07,694.89
2015,30,"C",-1,23.5,12.64,0.57,0.07,717.24
2015,30,"C",-2,29,14.92,0.46,0.07,682.84
2015,30,"C",-3,25.96,13.66,0.52,0.07,704.98
2021,31,"R",-1,54.61,25.55,0.92,0.24,2357.05
2021,31,"R",-2,54.15,25.36,0.89,0.23,2257.98
2021,31,"R",-3,54.01,25.31,0.84,0.21,2136.94
2021,31,"B",-1,53.29,25,0.93,0.23,2330.28
2021,31,"B",-2,58.34,27.1,0.95,0.26,2565.24
2021,31,"B",-3,53.11,24.93,0.84,0.21,2089.26
2021,31,"C",-1,32.54,16.4,0.93,0.15,1526.67
2021,31,"C",-2,38.77,18.98,1.1,0.21,2091.25
2021,31,"C",-3,42.85,20.67,1.1,0.23,2270.78
2021,32,"R",-1,24.38,13.01,0.71,0.09,929.37
2021,32,"R",-2,34.29,17.12,0.78,0.13,1340.63
2021,32,"R",-3,31.31,15.88,0.83,0.13,1322.68
2021,32,"B",-1,41.76,20.22,1.09,0.22,2197.61
2021,32,"B",-2,51.1,24.1,0.85,0.21,2054.87
2021,32,"B",-3,51.55,24.28,0.95,0.23,2317.17
2021,32,"C",-1,53.81,25.22,0.86,0.22,2173.92
2021,32,"C",-2,48.43,22.99,0.99,0.23,2284.59
2021,32,"C",-3,51.16,24.12,1.01,0.24,2442.41
2015,32,"R",-1,30.31,15.47,0.51,0.08,790.36
2015,32,"R",-2,26.42,13.85,0.53,0.07,737.28
2015,32,"R",-3,10.78,7.36,0.99,0.07,727.35
2015,32,"B",-1,27.9,14.47,0.57,0.08,827.37
2015,32,"B",-2,19.91,11.15,0.61,0.07,682.65
2015,32,"B",-3,16.72,9.83,0.64,0.06,632.48
2015,32,"C",-1,26.59,13.92,0.59,0.08,822.55
2015,32,"C",-2,29.45,15.11,0.54,0.08,821.73
2015,32,"C",-3,16.48,9.73,0.72,0.07,697.15
2021,33,"R",-1,34.72,17.3,1.04,0.18,1800.05
2021,33,"R",-2,43.04,20.75,0.99,0.21,2062.69
2021,33,"R",-3,39.37,19.23,1.22,0.24,2351.77
2021,33,"B",-1,39.5,19.28,1.05,0.2,2026.17
2021,33,"B",-2,34.42,17.17,0.98,0.17,1691.63
2021,33,"B",-3,44.63,21.41,1.08,0.23,2314.1
2021,33,"C",-1,36.83,18.17,0.84,0.15,1532.68
2021,33,"C",-2,32.9,16.54,1.11,0.18,1833.44
2021,33,"C",-3,44.7,21.44,0.79,0.17,1703.49
2015,33,"R",-1,18.46,10.55,0.63,0.07,666.62
2015,33,"R",-2,28.19,14.59,0.48,0.07,698.52
2015,33,"R",-3,31,15.75,0.44,0.07,688.62
2015,33,"B",-1,15.92,9.5,0.75,0.07,708.6
2015,33,"B",-2,13.74,8.59,0.55,0.05,470.2
2015,33,"B",-3,19.12,10.82,0.63,0.07,683.74
2015,33,"C",-1,15.48,9.32,0.69,0.06,646.09
2015,33,"C",-2,20.59,11.43,0.62,0.07,706.16
2015,33,"C",-3,18.99,10.77,0.65,0.07,705.09
2021,34,"R",-1,35.72,17.72,0.79,0.14,1407.42
2021,34,"R",-2,40.14,19.55,0.59,0.12,1160
2021,34,"R",-3,36.72,18.13,0.63,0.11,1135.44
2021,34,"B",-1,43.48,20.94,1.08,0.23,2259.77
2021,34,"B",-2,52.06,24.5,0.88,0.22,2162.19
2021,34,"B",-3,57.32,26.68,0.95,0.25,2547.56
2021,34,"C",-1,46.29,22.1,0.93,0.21,2060.7
2021,34,"C",-2,60.68,28.07,0.96,0.27,2698.5
2021,34,"C",-3,53.44,25.07,0.94,0.24,2365.66
2015,38,"R",-1,15.76,9.43,0.72,0.07,680.47
2015,38,"R",-2,21.23,11.7,0.61,0.07,711.46
2015,38,"R",-3,35.99,17.83,0.46,0.08,828.1
2015,38,"B",-1,27.87,14.46,0.58,0.08,834.91
2015,38,"B",-2,21.59,11.85,0.56,0.07,664.28
2015,38,"B",-3,36.86,18.19,0.38,0.07,694.59
2015,38,"C",-1,18.91,10.74,0.7,0.08,756.09
2015,38,"C",-2,28.87,14.87,0.48,0.07,709.41
2015,38,"C",-3,28.4,14.68,0.53,0.08,779.79
2015,43,"R",-1,24.61,13.1,0.57,0.07,749.54
2015,43,"R",-2,23.86,12.79,0.6,0.08,769.37
2015,43,"R",-3,31.49,15.96,0.51,0.08,817.05
2015,43,"B",-1,29.31,15.05,0.49,0.07,741.34
2015,43,"B",-2,23.6,12.69,0.62,0.08,790.69
2015,43,"B",-3,30.03,15.35,0.55,0.08,842.71
2015,43,"C",-1,22.59,12.27,0.63,0.08,772.23
2015,43,"C",-2,21.39,11.77,0.67,0.08,793.87
2015,43,"C",-3,24.83,13.2,0.55,0.07,731
2015,48,"R",-1,23.08,12.47,0.49,0.06,610.1
2015,48,"R",-2,41.9,20.28,0.61,0.12,1234.54
2015,48,"R",-3,20.89,11.56,0.71,0.08,818.47
2015,48,"B",-1,27.04,14.11,0.45,0.06,628.5
2015,48,"B",-2,22.99,12.43,0.49,0.06,606.82
2015,48,"B",-3,22.74,12.33,0.56,0.07,693.7
2015,48,"C",-1,21.46,11.8,0.61,0.07,719.21
2015,48,"C",-2,22.62,12.28,0.61,0.08,754.31
2015,48,"C",-3,21.59,11.85,0.68,0.08,811.57
2015,53,"R",-1,37.42,18.42,0.43,0.08,800.38
2015,53,"R",-2,40.54,19.71,0.34,0.07,678.92
2015,53,"R",-3,38.38,18.82,0.34,0.06,643.95
2015,53,"B",-1,19.59,11.02,0.72,0.08,789
2015,53,"B",-2,32.47,16.36,0.44,0.07,722.25
2015,53,"B",-3,42.44,20.5,0.37,0.08,754.51
2015,53,"C",-1,28.97,14.91,0.47,0.07,704.8
2015,53,"C",-2,27.94,14.48,0.51,0.07,732.85
2015,53,"C",-3,39.81,19.41,0.37,0.07,718.98
2015,58,"R",-1,16.01,9.54,0.83,0.08,793.16
2015,58,"R",-2,11.78,7.78,0.84,0.07,652.36
2015,58,"R",-3,12.44,8.05,0.78,0.06,629.14
2015,58,"B",-1,10.76,7.35,0.91,0.07,667.32
2015,58,"B",-2,9.41,6.79,0.99,0.07,673.32
2015,58,"B",-3,9.9,7,0.88,0.06,613.02
2015,58,"C",-1,13.74,8.59,0.79,0.07,682.14
2015,58,"C",-2,16.07,9.56,0.84,0.08,807.07
2015,58,"C",-3,12.74,8.18,0.93,0.08,763.64
2015,63,"R",-1,23.04,12.45,0.64,0.08,800.02
2015,63,"R",-2,35.83,17.76,0.57,0.1,1007.69
2015,63,"R",-3,22.51,12.23,0.55,0.07,677.28
2015,63,"B",-1,28.26,14.62,0.55,0.08,799.3
2015,63,"B",-2,25.84,13.61,0.64,0.09,871.89
2015,63,"B",-3,34.06,17.03,0.4,0.07,678.35
2015,63,"C",-1,23.71,12.73,0.66,0.08,841.01
2015,63,"C",-2,21.03,11.62,0.57,0.07,663.96
2015,63,"C",-3,28.03,14.52,0.5,0.07,727.78
